      n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
      0,             0,               0,              1,         0,           0,          0
   1000,          1460,             461,            250,      5142,           0,       1689
   2000,          2906,             907,            483,     11293,           0,       3466
   3000,          4359,            1360,            721,     17629,           0,       5807
   4000,          5816,            1817,           1104,     24579,           0,       8319
   5000,          7307,            2308,           1388,     31106,           0,      10681
   6000,          8752,            2753,           1481,     38277,           0,      11725
   7000,         10244,            3245,           1763,     45380,           0,      13947
   8000,         11640,            3641,           2019,     53198,           0,      16232
   9000,         13098,            4099,           2240,     59949,           0,      18392
  10000,         14565,            4566,           2418,     67162,           0,      20425
  11000,         16081,            5082,           2730,     74489,           0,      22541
  12000,         17528,            5529,           2950,     82583,           0,      25158
  13000,         19007,            6008,           3164,     89936,           0,      27401
  14000,         20453,            6454,           3414,     97715,           0,      29924
  15000,         21885,            6886,           3714,    105713,           0,      32092
  16000,         23331,            7332,           3878,    114393,           0,      34099
  17000,         24788,            7789,           4250,    121869,           0,      37010
  18000,         26244,            8245,           4474,    128907,           0,      39527
  19000,         27705,            8706,           4701,    136319,           0,      41405
  20000,         29152,            9153,           4881,    144377,           0,      43731
  21000,         30617,            9618,           5177,    152341,           0,      46488
  22000,         32081,           10082,           5355,    159937,           0,      47861
  23000,         33492,           10493,           5789,    168286,           0,      53111
  24000,         34956,           10957,           6282,    177052,           0,      54792
  25000,         36415,           11416,           6117,    185342,           0,      56357
  26000,         37884,           11885,           6439,    192845,           0,      58611
  27000,         39342,           12343,           6680,    200941,           0,      61222
  28000,         40775,           12776,           6937,    209354,           0,      63849
  29000,         42276,           13277,           7177,    218128,           0,      67589
  30000,         43695,           13696,           7292,    226435,           0,      68671
  31000,         45147,           14148,           7663,    235462,           0,      71370
  32000,         46613,           14614,           7946,    244767,           0,      73672
  33000,         48096,           15097,           8133,    253970,           0,      76520
  34000,         49538,           15539,           8407,    260696,           0,      79082
  35000,         51007,           16008,           8656,    268160,           0,      82266
  36000,         52491,           16492,           8911,    275741,           0,      86050
  37000,         53903,           16904,           9017,    284170,           0,      86651
  38000,         55341,           17342,           9495,    291579,           0,      88726
  39000,         56792,           17793,           9678,    300094,           0,      91471
  40000,         58308,           18309,           9759,    308767,           0,      92319
  41000,         59779,           18780,          10106,    318104,           0,      96163
  42000,         61247,           19248,          10401,    325556,           0,      98489
  43000,         62679,           19680,          10627,    333751,           0,     119829
  44000,         64191,           20192,          11144,    341960,           0,     103750
  45000,         65634,           20635,          11217,    351168,           0,     105349
  46000,         67041,           21042,          11356,    359446,           0,     108586
  47000,         68486,           21487,          11609,    368675,           0,     111392
  48000,         69913,           21914,          11842,    378007,           0,     113860
  49000,         71398,           22399,          12083,    388047,           0,     117003
  50000,         72906,           22907,          12360,    395686,           0,     119228
  51000,         74404,           23405,          12611,    403566,           0,     121815
  52000,         75877,           23878,          12874,    411692,           0,     124140
  53000,         77324,           24325,          13128,    420516,           0,     126101
  54000,         78760,           24761,          13354,    428861,           0,     168461
  55000,         80211,           25212,          14517,    437694,           0,     153653
  56000,         81674,           25675,          14019,    446717,           0,     136174
  57000,         83129,           26130,          14379,    456611,           0,     291192
  58000,         84594,           26595,          15012,    465141,           0,     146165
  59000,         86093,           27094,          14843,    473746,           0,     143584
  60000,         87515,           27516,          15092,    482843,           0,     147440
  61000,         88977,           27978,          15794,    492477,           0,     152284
  62000,         90452,           28453,          15948,    501893,           0,     151084
  63000,         91892,           28893,          15692,    511538,           0,     153362
  64000,         93350,           29351,          15946,    521554,           0,     156485
  65000,         94854,           29855,          16291,    532069,           0,     159645
  66000,         96281,           30282,          16503,    540924,           0,     163473
  67000,         97738,           30739,          16713,    547818,           0,     165030
  68000,         99197,           31198,          16647,    555337,           0,     169693
  69000,        100666,           31667,          17276,    563259,           0,     170363
  70000,        102143,           32144,          17448,    571314,           0,     172786
  71000,        103576,           32577,          17721,    579120,           0,     175310
  72000,        105054,           33055,          17926,    587528,           0,     178020
  73000,        106482,           33483,          18050,    596276,           0,     179716
  74000,        107898,           33899,          18320,    605268,           0,     182308
  75000,        109330,           34331,          18511,    612819,           0,     186878
  76000,        110804,           34805,          18814,    621202,           0,     187160
  77000,        112293,           35294,          19205,    629950,           0,     188749
  78000,        113767,           35768,          19324,    639233,           0,     192524
  79000,        115240,           36241,          19609,    648000,           0,     195148
  80000,        116723,           36724,          19947,    657456,           0,     197937
  81000,        118188,           37189,          20059,    666924,           0,     200689
  82000,        119644,           37645,          20330,    677157,           0,     210386
  83000,        121075,           38076,          21159,    684477,           0,     208647
  84000,        122579,           38580,          20911,    692945,           0,     208390
  85000,        124038,           39039,          21027,    701348,           0,     210999
  86000,        125559,           39560,          21332,    710607,           0,     213975
  87000,        127018,           40019,          21604,    718821,           0,     216111
  88000,        128464,           40465,          21936,    727958,           0,     218736
  89000,        129897,           40898,          22047,    737393,           0,     221677
  90000,        131335,           41336,          22353,    747356,           0,     224524
  91000,        132813,           41814,          22575,    756004,           0,     226917
  92000,        134249,           42250,          22964,    765082,           0,     229940
  93000,        135702,           42703,          23091,    774466,           0,     232462
  94000,        137174,           43175,          23314,    784573,           0,     235216
  95000,        138623,           43624,          23542,    793965,           0,     238075
  96000,        140102,           44103,          23971,    804151,           0,     240663
  97000,        141597,           44598,          24056,    814334,           0,     244017
  98000,        143048,           45049,          24309,    825260,           0,     247013
  99000,        144489,           45490,          26363,    833568,           0,     249418
 100000,        145928,           45929,          24860,    841409,           0,     255026
 101000,        147404,           46405,          25110,    849391,           0,     254410
 102000,        148842,           46843,          25349,    858093,           0,     257119
 103000,        150285,           47286,          25545,    866712,           0,     259962
 104000,        151728,           47729,          25889,    875271,           0,     262295
 105000,        153181,           48182,          26046,    884325,           0,     265008
 106000,        154617,           48618,          26273,    893934,           0,     268074
 107000,        156118,           49119,          26616,    903074,           0,     270493
 108000,        157568,           49569,          26788,    911743,           0,     273108
 109000,        158972,           49973,          27029,    920760,           0,     276444
 110000,        160406,           50407,          27378,    930250,           0,     278403
 111000,        161891,           50892,          27495,    939835,           0,     281273
 112000,        163316,           51317,          27724,    949410,           0,     284299
 113000,        164713,           51714,          28060,    959336,           0,     286997
 114000,        166174,           52175,          28245,    970064,           0,     289649
 115000,        167583,           52584,          29326,    979783,           0,     293830
 116000,        169075,           53076,          28855,    988152,           0,     295212
 117000,        170559,           53560,          28975,    997306,           0,     298201
 118000,        172022,           54023,          29315,   1006474,           0,     300617
 119000,        173488,           54489,          29555,   1016339,           0,     303375
 120000,        174954,           54955,          29731,   1025651,           0,     306178
 121000,        176438,           55439,          29959,   1035792,           0,     308888
 122000,        177904,           55905,          30282,   1045864,           0,     311728
 123000,        179379,           56380,          30453,   1056763,           0,     314904
 124000,        180829,           56830,          30725,   1065873,           0,     317591
 125000,        182291,           57292,          31050,   1075981,           0,     320503
 126000,        183760,           57761,          31143,   1085913,           0,     327272
 127000,        185239,           58240,          31451,   1097303,           0,     328297
 128000,        186732,           58733,          32079,   1107053,           0,     329270
 129000,        188218,           59219,          31961,   1118284,           0,     335566
 130000,        189673,           59674,          32248,   1129217,           0,     335068
 131000,        191136,           60137,          32624,   1141292,           0,     337991
 132000,        192571,           60572,          32721,   1147928,           0,     341682
 133000,        194044,           61045,          32956,   1155358,           0,     344280
 134000,        195523,           61524,          33302,   1162684,           0,     352642
 135000,        196972,           61973,          33517,   1170943,           0,     350546
 136000,        198432,           62433,          33791,   1178675,           0,     352222
 137000,        199876,           62877,          34090,   1186715,           0,     354818
 138000,        201328,           63329,          34271,   1195296,           0,     357423
 139000,        202795,           63796,          34460,   1204643,           0,     363570
 140000,        204303,           64304,          34847,   1212475,           0,     362656
 141000,        205750,           64751,          34912,   1220581,           0,     365746
 142000,        207210,           65211,          35207,   1229154,           0,     367965
 143000,        208679,           65680,          35592,   1238274,           0,     371649
 144000,        210188,           66189,          35817,   1247140,           0,     374065
 145000,        211638,           66639,          36204,   1256072,           0,     375825
 146000,        213112,           67113,          36384,   1265638,           0,     379057
 147000,        214575,           67576,          36504,   1275519,           0,     382137
 148000,        216022,           68023,          36947,   1284628,           0,     385224
 149000,        217465,           68466,          37062,   1292485,           0,     389638
 150000,        218967,           68968,          37286,   1300840,           0,     390959
 151000,        220428,           69429,          37562,   1309935,           0,     392382
 152000,        221920,           69921,          37992,   1318465,           0,     394992
 153000,        223378,           70379,          37955,   1327502,           0,     422290
 154000,        224809,           70810,          41453,   1336923,           0,     405765
 155000,        226292,           71293,          38571,   1346978,           0,     403309
 156000,        227773,           71774,          38926,   1356570,           0,     405641
 157000,        229217,           72218,          38978,   1365310,           0,     409444
 158000,        230680,           72681,          39420,   1375000,           0,     411604
 159000,        232119,           73120,          40188,   1384727,           0,     417613
 160000,        233567,           73568,          39873,   1394733,           0,     417015
 161000,        235046,           74047,          40027,   1404408,           0,     428951
 162000,        236521,           74522,          40322,   1414929,           0,     422931
 163000,        237976,           74977,          40508,   1425796,           0,     426457
 164000,        239462,           75463,          40899,   1436347,           0,     439352
 165000,        240977,           75978,          40957,   1443877,           0,     431374
 166000,        242439,           76440,          41312,   1452004,           0,     433576
 167000,        243842,           76843,          41491,   1460524,           0,     436674
 168000,        245303,           77304,          41769,   1469966,           0,     442355
 169000,        246819,           77820,          42398,   1478322,           0,     443100
 170000,        248305,           78306,          42273,   1487771,           0,     444628
 171000,        249803,           78804,          42469,   1496777,           0,     447386
 172000,        251288,           79289,          43224,   1507161,           0,     450146
 173000,        252736,           79737,          43007,   1515636,           0,     452924
 174000,        254188,           80189,          43343,   1524626,           0,     457840
 175000,        255655,           80656,          43586,   1533990,           0,     458249
 176000,        257160,           81161,          44064,   1544128,           0,     461273
 177000,        258639,           81640,          43801,   1553709,           0,     473452
 178000,        260083,           82084,          44359,   1563898,           0,     467064
 179000,        261532,           82533,          44729,   1573797,           0,     471211
 180000,        262977,           82978,          44823,   1584913,           0,     472824
 181000,        264440,           83441,          44994,   1593900,           0,     475585
 182000,        265842,           83843,          45255,   1603053,           0,     478722
 183000,        267262,           84263,          45477,   1612148,           0,     481517
 184000,        268721,           84722,          45683,   1622141,           0,     484379
 185000,        270221,           85222,          46405,   1631713,           0,     497258
 186000,        271664,           85665,          46079,   1641948,           0,     495874
 187000,        273133,           86134,          46525,   1652076,           0,     492916
 188000,        274574,           86575,          46947,   1663048,           0,     495645
 189000,        276018,           87019,          47270,   1673084,           0,     498793
 190000,        277531,           87532,          47197,   1682903,           0,     502283
 191000,        278995,           87996,          47553,   1693341,           0,     504662
 192000,        280413,           88414,          47729,   1704314,           0,     508553
 193000,        281852,           88853,          47987,   1714823,           0,     515041
 194000,        283318,           89319,          48190,   1725781,           0,     520826
 195000,        284839,           89840,          48496,   1736965,           0,     518327
