     n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
     0,             0,               0,              0,         0,           0,          0
   100,           146,              47,             28,       339,           0,        130
   200,           307,             108,             52,       788,           0,        274
   300,           461,             162,             77,      1264,           0,        435
   400,           599,             200,             98,      1771,           0,        591
   500,           739,             240,            120,      2336,           0,        738
   600,           888,             289,            146,      2814,           0,        893
   700,          1044,             345,            174,      3367,           0,       1068
   800,          1201,             402,            200,      3948,           0,       1250
   900,          1360,             461,            232,      4532,           0,       1417
  1000,          1510,             511,            262,      5177,           0,       1608
  1100,          1649,             550,            277,      5694,           0,       1777
  1200,          1799,             600,            303,      6251,           0,       1967
  1300,          1940,             641,            323,      6838,           0,       2142
  1400,          2088,             689,            350,      7447,           0,       2324
  1500,          2230,             731,            371,      8064,           0,       2497
  1600,          2367,             768,            400,      8685,           0,       2694
  1700,          2524,             825,            419,      9273,           0,       2878
  1800,          2665,             866,            445,      9953,           0,       3094
  1900,          2815,             916,            469,     10582,           0,       3255
  2000,          2968,             969,            496,     11322,           0,       3450
  2100,          3112,            1013,            520,     11943,           0,       3700
  2200,          3253,            1054,            543,     12465,           0,       3860
  2300,          3417,            1118,            573,     13073,           0,       4049
  2400,          3565,            1166,            600,     13680,           0,       4230
  2500,          3712,            1213,            620,     14313,           0,       4418
  2600,          3854,            1255,            647,     14968,           0,       4624
  2700,          4002,            1303,            669,     15562,           0,       4825
  2800,          4150,            1351,            698,     16268,           0,       5000
  2900,          4307,            1408,            739,     16909,           0,       5255
  3000,          4468,            1469,            752,     17641,           0,       5520
  3100,          4610,            1511,            775,     18387,           0,       5786
  3200,          4753,            1554,            827,     18977,           0,       5922
  3300,          4911,            1612,            837,     19601,           0,       6145
  3400,          5049,            1650,            869,     20249,           0,       6342
  3500,          5185,            1686,            882,     20952,           0,       6545
  3600,          5324,            1725,            901,     21714,           0,       6629
  3700,          5465,            1766,            916,     22326,           0,       6815
  3800,          5603,            1804,            935,     23088,           0,       7034
  3900,          5754,            1855,            958,     23825,           0,       7258
  4000,          5898,            1899,            987,     24609,           0,       7438
  4100,          6038,            1939,           1007,     25452,           0,       7709
  4200,          6185,            1986,           1034,     25975,           0,       7900
  4300,          6326,            2027,           1054,     26532,           0,       8126
  4400,          6473,            2074,           1079,     27119,           0,       8308
  4500,          6636,            2137,           1109,     27766,           0,       8500
  4600,          6770,            2171,           1129,     28394,           0,       8713
  4700,          6911,            2212,           1150,     29013,           0,       9347
  4800,          7043,            2244,           1212,     29702,           0,       9332
  4900,          7209,            2310,           1237,     30387,           0,       9443
  5000,          7356,            2357,           1228,     31124,           0,       9522
  5100,          7491,            2392,           1248,     31864,           0,       9732
  5200,          7639,            2440,           1275,     32507,           0,       9911
  5300,          7799,            2500,           1310,     33175,           0,      10102
  5400,          7944,            2545,           1324,     33824,           0,      10348
  5500,          8093,            2594,           1348,     34542,           0,      10522
  5600,          8228,            2629,           1377,     35297,           0,      10810
  5700,          8374,            2675,           1398,     35970,           0,      10935
  5800,          8510,            2711,           1415,     36660,           0,      11156
  5900,          8667,            2768,           1441,     37486,           0,      11371
  6000,          8803,            2804,           1461,     38235,           0,      11590
  6100,          8951,            2852,           1492,     39161,           0,      11879
  6200,          9103,            2904,           1516,     39831,           0,      12063
  6300,          9253,            2954,           1541,     40449,           0,      12263
  6400,          9388,            2989,           1562,     41098,           0,      12469
  6500,          9538,            3039,           1592,     41702,           0,      12650
  6600,          9697,            3098,           1618,     42448,           0,      12852
  6700,          9840,            3141,           1635,     43154,           0,      13066
  6800,          9982,            3183,           1659,     43869,           0,      13274
  6900,         10128,            3229,           1687,     44648,           0,      13535
  7000,         10272,            3273,           1709,     45371,           0,      13725
  7100,         10426,            3327,           1749,     46173,           0,      13947
  7200,         10580,            3381,           1766,     47017,           0,      14167
  7300,         10719,            3420,           1781,     47663,           0,      14379
  7400,         10863,            3464,           1806,     48364,           0,      14573
  7500,         11011,            3512,           1831,     49157,           0,      14814
  7600,         11152,            3553,           1865,     49943,           0,      15012
  7700,         11300,            3601,           1881,     50778,           0,      15240
  7800,         11441,            3642,           1902,     51557,           0,      15478
  7900,         11588,            3689,           1927,     52346,           0,      15703
  8000,         11746,            3747,           1953,     53211,           0,      16031
  8100,         11886,            3787,           1982,     54072,           0,      16153
  8200,         12024,            3825,           2001,     55047,           0,      16445
  8300,         12159,            3860,           2021,     55531,           0,      16689
  8400,         12313,            3914,           2050,     56131,           0,      17256
  8500,         12469,            3970,           2074,     56694,           0,      17428
  8600,         12612,            4013,           2096,     57361,           0,      17382
  8700,         12762,            4063,           2120,     58040,           0,      17569
  8800,         12896,            4097,           2168,     58611,           0,      17756
  8900,         13033,            4134,           2166,     59286,           0,      17978
  9000,         13160,            4161,           2203,     59978,           0,      18195
  9100,         13305,            4206,           2208,     60669,           0,      18384
  9200,         13443,            4244,           2229,     61423,           0,      18645
  9300,         13590,            4291,           2250,     62142,           0,      18896
  9400,         13726,            4327,           2278,     62704,           0,      19040
  9500,         13874,            4375,           2298,     63420,           0,      19248
  9600,         14027,            4428,           2327,     64169,           0,      19447
  9700,         14166,            4467,           2364,     64946,           0,      19647
  9800,         14313,            4514,           2373,     65648,           0,      19885
  9900,         14456,            4557,           2400,     66366,           0,      20111
 10000,         14612,            4613,           2439,     67219,           0,      20335
