    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              0,         0,           0,          0
   10,            13,               6,              3,        18,           0,          9
   20,            29,              12,              6,        47,           0,         23
   30,            44,              17,              8,        79,           0,         36
   40,            61,              24,             13,       114,           0,         52
   50,            78,              31,             15,       153,           0,         66
   60,            90,              33,             18,       189,           0,         82
   70,           101,              34,             20,       221,           0,         95
   80,           112,              35,             21,       261,           0,        111
   90,           125,              38,             22,       297,           0,        127
  100,           135,              38,             23,       342,           0,        143
  110,           149,              42,             27,       376,           0,        157
  120,           164,              47,             30,       428,           0,        175
  130,           178,              51,             33,       475,           0,        193
  140,           193,              56,             34,       508,           0,        211
  150,           208,              61,             37,       549,           0,        217
  160,           220,              63,             40,       599,           0,        234
  170,           238,              71,             43,       637,           0,        249
  180,           253,              76,             45,       686,           0,        268
  190,           274,              87,             51,       737,           0,        289
  200,           284,              87,             52,       788,           0,        305
  210,           300,              93,             56,       824,           0,        320
  220,           314,              97,             58,       873,           0,        335
  230,           331,             104,             61,       932,           0,        355
  240,           346,             109,             65,       984,           0,        376
  250,           361,             114,             68,      1041,           0,        391
  260,           379,             122,             72,      1088,           0,        409
  270,           390,             123,             71,      1120,           0,        427
  280,           402,             125,             74,      1159,           0,        407
  290,           419,             132,             72,      1210,           0,        422
  300,           433,             136,             76,      1252,           0,        439
  310,           445,             138,             76,      1296,           0,        461
  320,           458,             141,             78,      1362,           0,        481
  330,           470,             143,             82,      1393,           0,        488
  340,           484,             147,             82,      1439,           0,        504
  350,           496,             149,             85,      1504,           0,        523
  360,           513,             156,             89,      1554,           0,        542
  370,           529,             162,             91,      1619,           0,        564
  380,           544,             167,             94,      1660,           0,        573
  390,           559,             172,             97,      1717,           0,        597
  400,           572,             175,             99,      1771,           0,        609
  410,           590,             183,            101,      1810,           0,        627
  420,           603,             186,            108,      1860,           0,        644
  430,           615,             188,            107,      1916,           0,        661
  440,           627,             190,            107,      1966,           0,        665
  450,           645,             198,            108,      2029,           0,        669
  460,           664,             207,            128,      2087,           0,        705
  470,           677,             210,            115,      2143,           0,        706
  480,           688,             211,            116,      2204,           0,        724
  490,           701,             214,            117,      2263,           0,        739
  500,           715,             218,            118,      2325,           0,        775
  510,           728,             221,            124,      2394,           0,        785
  520,           740,             223,            122,      2428,           0,        798
  530,           756,             229,            124,      2466,           0,        799
  540,           767,             230,            124,      2511,           0,        818
  550,           781,             234,            128,      2551,           0,        827
  560,           799,             242,            130,      2602,           0,        850
  570,           814,             247,            133,      2651,           0,        868
  580,           828,             251,            137,      2706,           0,        885
  590,           841,             254,            145,      2758,           0,        907
  600,           854,             257,            138,      2803,           0,        899
  610,           870,             263,            140,      2845,           0,        913
  620,           880,             263,            144,      2901,           0,        944
  630,           893,             266,            143,      2963,           0,        946
  640,           907,             270,            149,      3040,           0,        970
  650,           920,             273,            147,      3071,           0,        978
  660,           935,             278,            151,      3113,           0,        992
  670,           949,             282,            154,      3180,           0,       1012
  680,           963,             286,            155,      3218,           0,       1026
  690,           974,             287,            155,      3280,           0,       1044
  700,           994,             297,            163,      3354,           0,       1065
  710,          1011,             304,            163,      3411,           0,       1085
  720,          1022,             305,            165,      3466,           0,       1099
  730,          1039,             312,            167,      3521,           0,       1115
  740,          1055,             318,            172,      3594,           0,       1135
  750,          1069,             322,            173,      3645,           0,       1152
  760,          1086,             329,            176,      3709,           0,       1169
  770,          1102,             335,            178,      3791,           0,       1190
  780,          1117,             340,            183,      3827,           0,       1209
  790,          1129,             342,            182,      3872,           0,       1222
  800,          1144,             347,            185,      3931,           0,       1237
  810,          1156,             349,            185,      3986,           0,       1255
  820,          1171,             354,            190,      4030,           0,       1271
  830,          1181,             354,            190,      4097,           0,       1322
  840,          1194,             357,            193,      4141,           0,       1312
  850,          1208,             361,            195,      4193,           0,       1341
  860,          1222,             365,            201,      4251,           0,       1456
  870,          1232,             365,            244,      4302,           0,       1503
  880,          1247,             370,            205,      4364,           0,       1400
  890,          1261,             374,            207,      4443,           0,       1422
  900,          1274,             377,            210,      4490,           0,       1435
  910,          1292,             385,            211,      4561,           0,       1455
  920,          1304,             387,            215,      4621,           0,       1471
  930,          1324,             397,            221,      4684,           0,       1495
  940,          1335,             398,            221,      4745,           0,       1513
  950,          1351,             404,            221,      4798,           0,       1528
  960,          1366,             409,            227,      4883,           0,       1550
  970,          1376,             409,            226,      4911,           0,       1563
  980,          1392,             415,            231,      5007,           0,       1587
  990,          1406,             419,            232,      5075,           0,       1602
 1000,          1421,             424,            235,      5143,           0,       1621
 1010,          1443,             436,            240,      5225,           0,       1660
 1020,          1460,             443,            263,      5291,           0,       1690
 1030,          1473,             446,            243,      5339,           0,       1695
 1040,          1489,             452,            247,      5372,           0,       1711
 1050,          1502,             455,            249,      5428,           0,       1727
 1060,          1516,             459,            254,      5469,           0,       1740
 1070,          1529,             462,            252,      5514,           0,       1768
 1080,          1541,             464,            256,      5574,           0,       1799
 1090,          1554,             467,            257,      5625,           0,       1801
 1100,          1568,             471,            261,      5654,           0,       1817
 1110,          1580,             473,            261,      5706,           0,       1834
 1120,          1590,             473,            263,      5768,           0,       1850
 1130,          1600,             473,            262,      5815,           0,       1868
 1140,          1614,             477,            268,      5876,           0,       1886
 1150,          1631,             484,            273,      5946,           0,       1915
 1160,          1642,             485,            267,      5975,           0,       1887
 1170,          1656,             489,            272,      6042,           0,       1940
 1180,          1668,             491,            273,      6098,           0,       1956
 1190,          1681,             494,            277,      6143,           0,       1968
 1200,          1700,             503,            281,      6206,           0,       1996
 1210,          1714,             507,            285,      6260,           0,       2007
 1220,          1725,             508,            284,      6297,           0,       2021
 1230,          1740,             513,            288,      6383,           0,       2044
 1240,          1752,             515,            290,      6424,           0,       2062
 1250,          1772,             525,            292,      6501,           0,       2080
 1260,          1789,             532,            295,      6567,           0,       2099
 1270,          1804,             537,            298,      6641,           0,       2121
 1280,          1817,             540,            300,      6720,           0,       2146
 1290,          1828,             541,            301,      6738,           0,       2152
 1300,          1843,             546,            303,      6798,           0,       2171
 1310,          1855,             548,            305,      6844,           0,       2189
 1320,          1867,             550,            307,      6881,           0,       2204
 1330,          1884,             557,            309,      6958,           0,       2221
 1340,          1895,             558,            316,      7023,           0,       2237
 1350,          1907,             560,            314,      7065,           0,       2259
 1360,          1921,             564,            319,      7113,           0,       2273
 1370,          1936,             569,            319,      7184,           0,       2290
 1380,          1950,             573,            324,      7249,           0,       2316
 1390,          1966,             579,            324,      7316,           0,       2329
 1400,          1978,             581,            329,      7391,           0,       2351
 1410,          1990,             583,            327,      7450,           0,       2372
 1420,          2006,             589,            330,      7500,           0,       2392
 1430,          2019,             592,            333,      7558,           0,       2406
 1440,          2031,             594,            334,      7621,           0,       2441
 1450,          2043,             596,            343,      7694,           0,       2654
 1460,          2064,             607,            355,      7755,           0,       2436
 1470,          2074,             607,            345,      7830,           0,       2437
 1480,          2091,             614,            339,      7913,           0,       2464
 1490,          2105,             618,            340,      7946,           0,       2476
 1500,          2117,             620,            343,      8030,           0,       2501
 1510,          2129,             622,            344,      8100,           0,       2533
 1520,          2143,             626,            345,      8165,           0,       2537
 1530,          2158,             631,            348,      8266,           0,       2563
 1540,          2173,             636,            350,      8329,           0,       2579
 1550,          2184,             637,            351,      8368,           0,       2607
 1560,          2198,             641,            355,      8407,           0,       2622
 1570,          2211,             644,            362,      8459,           0,       2638
 1580,          2226,             649,            360,      8501,           0,       2645
 1590,          2238,             651,            362,      8581,           0,       2663
 1600,          2252,             655,            364,      8648,           0,       2694
 1610,          2269,             662,            367,      8701,           0,       2723
 1620,          2283,             666,            370,      8749,           0,       2720
 1630,          2302,             675,            373,      8808,           0,       2738
 1640,          2319,             682,            375,      8859,           0,       2762
 1650,          2332,             685,            377,      8920,           0,       2771
 1660,          2344,             687,            387,      8999,           0,       2818
 1670,          2357,             690,            383,      9045,           0,       2810
 1680,          2371,             694,            384,      9096,           0,       2825
 1690,          2386,             699,            387,      9156,           0,       2851
 1700,          2399,             702,            390,      9214,           0,       2872
 1710,          2410,             703,            401,      9276,           0,       2879
 1720,          2426,             709,            391,      9348,           0,       2900
 1730,          2439,             712,            394,      9406,           0,       2910
 1740,          2453,             716,            396,      9469,           0,       2930
 1750,          2464,             717,            396,      9546,           0,       2976
 1760,          2477,             720,            401,      9619,           0,       2974
 1770,          2488,             721,            402,      9699,           0,       2990
 1780,          2506,             729,            404,      9756,           0,       3011
 1790,          2519,             732,            406,      9853,           0,       3067
 1800,          2530,             733,            408,      9873,           0,       3051
 1810,          2541,             734,            409,      9952,           0,       3073
 1820,          2555,             738,            411,     10008,           0,       3092
 1830,          2571,             744,            415,     10069,           0,       3125
 1840,          2583,             746,            417,     10135,           0,       3134
 1850,          2598,             751,            419,     10203,           0,       3145
 1860,          2610,             753,            421,     10275,           0,       3169
 1870,          2623,             756,            426,     10344,           0,       3195
 1880,          2637,             760,            425,     10391,           0,       3223
 1890,          2650,             763,            432,     10465,           0,       3216
 1900,          2665,             768,            428,     10519,           0,       3236
 1910,          2681,             774,            432,     10621,           0,       3262
 1920,          2699,             782,            437,     10694,           0,       3282
 1930,          2710,             783,            436,     10753,           0,       3296
 1940,          2725,             788,            439,     10808,           0,       3319
 1950,          2740,             793,            442,     10899,           0,       3337
 1960,          2759,             802,            447,     10973,           0,       3410
 1970,          2777,             810,            450,     11025,           0,       3379
 1980,          2791,             814,            452,     11131,           0,       3404
 1990,          2801,             814,            452,     11174,           0,       3417
 2000,          2819,             822,            455,     11271,           0,       3441
 2010,          2831,             824,            458,     11356,           0,       3466
 2020,          2847,             830,            460,     11437,           0,       3494
 2030,          2859,             832,            463,     11475,           0,       3502
 2040,          2871,             834,            464,     11583,           0,       3530
 2050,          2883,             836,            465,     11659,           0,       3576
 2060,          2896,             839,            468,     11698,           0,       3590
 2070,          2914,             847,            471,     11730,           0,       3602
 2080,          2930,             853,            477,     11772,           0,       3618
 2090,          2948,             861,            476,     11823,           0,       3629
 2100,          2964,             867,            500,     11878,           0,       3706
 2110,          2976,             869,            486,     11936,           0,       3693
 2120,          2990,             873,            483,     11978,           0,       3722
 2130,          3006,             879,            490,     12032,           0,       3726
 2140,          3019,             882,            488,     12079,           0,       3741
 2150,          3038,             891,            493,     12131,           0,       3762
 2160,          3053,             896,            495,     12198,           0,       3807
 2170,          3068,             901,            505,     12253,           0,       3839
 2180,          3081,             904,            500,     12303,           0,       3810
 2190,          3095,             908,            504,     12357,           0,       3847
 2200,          3108,             911,            504,     12386,           0,       3844
 2210,          3124,             917,            506,     12458,           0,       3877
 2220,          3137,             920,            508,     12511,           0,       3883
 2230,          3147,             920,            509,     12581,           0,       3933
 2240,          3161,             924,            511,     12634,           0,       3916
 2250,          3172,             925,            512,     12681,           0,       3933
 2260,          3185,             928,            515,     12750,           0,       3954
 2270,          3198,             931,            517,     12825,           0,       3979
 2280,          3212,             935,            520,     12867,           0,       3993
 2290,          3232,             945,            523,     12945,           0,       4011
 2300,          3250,             953,            526,     13026,           0,       4122
 2310,          3264,             957,            547,     13087,           0,       4273
 2320,          3274,             957,            531,     13117,           0,       4151
 2330,          3297,             970,            541,     13158,           0,       4134
 2340,          3311,             974,            538,     13229,           0,       4142
 2350,          3330,             983,            555,     13287,           0,       4209
 2360,          3344,             987,            551,     13348,           0,       4231
 2370,          3359,             992,            555,     13416,           0,       4239
 2380,          3375,             998,            558,     13470,           0,       4266
 2390,          3392,            1005,            561,     13539,           0,       4281
 2400,          3406,            1009,            564,     13595,           0,       4307
 2410,          3421,            1014,            566,     13644,           0,       4317
 2420,          3436,            1019,            569,     13745,           0,       4346
 2430,          3449,            1022,            573,     13801,           0,       4390
 2440,          3463,            1026,            575,     13839,           0,       4382
 2450,          3480,            1033,            577,     13915,           0,       4398
 2460,          3492,            1035,            580,     13980,           0,       4410
 2470,          3507,            1040,            583,     14048,           0,       4441
 2480,          3518,            1041,            581,     14103,           0,       4446
 2490,          3532,            1045,            586,     14167,           0,       4466
 2500,          3546,            1049,            589,     14230,           0,       4496
