   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              2,         0,           0,          2
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              4,         1,           0,          5
   3,             2,               0,              2,         2,           0,          5
   4,             3,               0,              5,         4,           0,          9
   5,             4,               0,              3,         5,           0,         10
   6,             5,               0,              2,         7,           0,         14
   7,             6,               0,              3,         9,           0,         16
   8,             7,               0,              4,        12,           0,         20
   9,             8,               0,              3,        13,           0,         21
  10,             9,               0,              5,        15,           0,         23
  11,            10,               0,              6,        17,           0,         27
  12,            11,               0,              5,        20,           0,         31
  13,            12,               0,              6,        22,           0,         35
  14,            13,               0,              5,        25,           0,         39
  15,            14,               0,              7,        28,           0,         41
  16,            15,               0,              8,        32,           0,         46
  17,            16,               0,              7,        33,           0,         50
  18,            17,               0,              9,        35,           0,         51
  19,            18,               0,              9,        37,           0,         56
  20,            19,               0,              9,        40,           0,         57
  21,            20,               0,             10,        42,           0,         61
  22,            21,               0,             10,        45,           0,         65
  23,            22,               0,             10,        48,           0,         69
  24,            23,               0,             12,        52,           0,         72
  25,            24,               0,             12,        54,           0,         76
  26,            25,               0,             12,        57,           0,         81
  27,            26,               0,             13,        60,           0,         85
  28,            27,               0,             13,        64,           0,         87
  29,            28,               0,             13,        67,           0,         90
  30,            29,               0,             14,        71,           0,         96
  31,            30,               0,             14,        75,           0,        101
  32,            31,               0,             15,        80,           0,        107
  33,            32,               0,             15,        81,           0,        109
  34,            33,               0,             16,        83,           0,        112
  35,            34,               0,             15,        85,           0,        114
  36,            35,               0,             16,        88,           0,        118
  37,            36,               0,             17,        90,           0,        121
  38,            37,               0,             19,        93,           0,        127
  39,            38,               0,             19,        96,           0,        130
  40,            39,               0,             20,       100,           0,        133
  41,            40,               0,             18,       102,           0,        135
  42,            41,               0,             19,       105,           0,        142
  43,            42,               0,             20,       108,           0,        142
  44,            43,               0,             20,       112,           0,        147
  45,            44,               0,             21,       115,           0,        154
  46,            45,               0,             21,       119,           0,        156
  47,            46,               0,             21,       123,           0,        159
  48,            47,               0,             22,       128,           0,        166
  49,            48,               0,             22,       130,           0,        170
  50,            49,               0,             24,       133,           0,        172
  51,            50,               0,             24,       136,           0,        179
  52,            51,               0,             24,       140,           0,        180
  53,            52,               0,             25,       143,           0,        187
  54,            53,               0,             25,       147,           0,        190
  55,            54,               0,             25,       151,           0,        196
