  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              1,         0,           0,          1
  1,             0,               0,              0,         0,           0,          0
  2,             1,               0,             10,         1,           0,          7
  3,             2,               0,              4,         2,           0,          5
  4,             3,               0,              6,         4,           0,          6
  5,             4,               0,              9,         5,           0,         10
  6,             5,               0,              5,         7,           0,         11
  7,             6,               0,              6,         9,           0,         14
  8,             7,               0,              6,        12,           0,         18
  9,             8,               0,              6,        13,           0,         20
 10,             9,               0,              8,        15,           0,         21
 11,            10,               0,              8,        17,           0,         23
 12,            11,               0,             10,        20,           0,         28
 13,            12,               0,             10,        22,           0,         28
 14,            13,               0,             10,        25,           0,         34
 15,            14,               0,             12,        28,           0,         36
 16,            15,               0,             12,        32,           0,         41
 17,            16,               0,             12,        33,           0,         42
 18,            17,               0,             12,        35,           0,         45
 19,            18,               0,             15,        37,           0,         46
 20,            19,               0,             14,        40,           0,         51
 21,            20,               0,             15,        42,           0,         53
 22,            21,               0,             15,        45,           0,         57
 23,            22,               0,             16,        48,           0,         59
 24,            23,               0,             17,        52,           0,         63
 25,            24,               0,             17,        54,           0,         66
 26,            25,               0,             18,        57,           0,         69
 27,            26,               0,             21,        60,           0,         72
 28,            27,               0,             20,        64,           0,         76
 29,            28,               0,             20,        67,           0,         78
 30,            29,               0,             20,        71,           0,         82
 31,            30,               0,             21,        75,           0,         86
 32,            31,               0,             23,        80,           0,         91
 33,            32,               0,             25,        81,           0,         95
 34,            33,               0,             24,        83,           0,         93
 35,            34,               0,             23,        85,           0,         98
 36,            35,               0,             24,        88,           0,        167
 37,            36,               0,             46,        90,           0,        163
 38,            37,               0,             33,        93,           0,        163
 39,            38,               0,             32,        96,           0,        164
 40,            39,               0,             35,       100,           0,        170
 41,            40,               0,             33,       102,           0,        173
 42,            41,               0,             35,       105,           0,        181
 43,            42,               0,             36,       108,           0,        186
 44,            43,               0,             34,       112,           0,        147
 45,            44,               0,             31,       115,           0,        154
 46,            45,               0,             30,       119,           0,        157
 47,            46,               0,             30,       123,           0,        159
 48,            47,               0,             30,       128,           0,        165
 49,            48,               0,             30,       130,           0,        169
 50,            49,               0,             32,       133,           0,        172
 51,            50,               0,             34,       136,           0,        175
 52,            51,               0,             34,       140,           0,        183
 53,            52,               0,             35,       143,           0,        186
 54,            53,               0,             36,       147,           0,        190
 55,            54,               0,             37,       151,           0,        192
 56,            55,               0,             38,       156,           0,        200
 57,            56,               0,             37,       159,           0,        203
 58,            57,               0,             38,       163,           0,        210
 59,            58,               0,             39,       167,           0,        213
 60,            59,               0,             41,       172,           0,        219
 61,            60,               0,             41,       176,           0,        221
 62,            61,               0,             41,       181,           0,        230
 63,            62,               0,             41,       186,           0,        236
 64,            63,               0,             53,       192,           0,        242
 65,            64,               0,             44,       193,           0,        245
 66,            65,               0,             45,       195,           0,        249
 67,            66,               0,             46,       197,           0,        250
 68,            67,               0,             46,       200,           0,        255
 69,            68,               0,             45,       202,           0,        257
 70,            69,               0,             47,       205,           0,        261
 71,            70,               0,             46,       208,           0,        272
 72,            71,               0,             48,       212,           0,        273
 73,            72,               0,             47,       214,           0,        272
 74,            73,               0,             51,       217,           0,        277
 75,            74,               0,             50,       220,           0,        278
 76,            75,               0,             51,       224,           0,        234
 77,            76,               0,             44,       227,           0,        251
 78,            77,               0,             49,       231,           0,        252
 79,            78,               0,             44,       235,           0,        245
 80,            79,               0,             43,       240,           0,        248
 81,            80,               0,             43,       242,           0,        249
 82,            81,               0,             44,       245,           0,        252
 83,            82,               0,             45,       248,           0,        256
 84,            83,               0,             47,       252,           0,        262
 85,            84,               0,             46,       255,           0,        262
 86,            85,               0,             49,       259,           0,        271
 87,            86,               0,             48,       263,           0,        274
 88,            87,               0,             46,       268,           0,        277
 89,            88,               0,             47,       271,           0,        283
 90,            89,               0,             51,       275,           0,        288
 91,            90,               0,             51,       279,           0,        288
 92,            91,               0,             50,       284,           0,        298
 93,            92,               0,             55,       288,           0,        298
 94,            93,               0,             50,       293,           0,        304
 95,            94,               0,             51,       298,           0,        306
 96,            95,               0,             52,       304,           0,        315
 97,            96,               0,             53,       306,           0,        313
 98,            97,               0,             53,       309,           0,        321
 99,            98,               0,             56,       312,           0,        321
100,            99,               0,             56,       316,           0,        327
