 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              1,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0
 2,             1,               0,              1,         1,           0,          1
 3,             2,               0,              0,         2,           0,          1
 4,             3,               0,              0,         4,           0,          3
 5,             4,               0,              0,         5,           0,         13
 6,             6,               1,              3,         7,           0,          7
 7,            10,               4,              3,        10,           0,          5
 8,            11,               4,              2,        14,           0,          7
 9,            12,               4,              2,        15,           0,          6
10,            13,               4,              2,        17,           0,          9
