    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              1,         0,           0,          0
   10,            35,              29,             12,        21,           0,         10
   20,           101,              85,             31,        64,           0,         24
   30,           211,             185,             51,       116,           0,         41
   40,           497,             463,            128,       163,           0,         58
   50,           723,             680,            174,       222,           0,         71
   60,          1134,            1081,            267,       281,           0,         88
   70,          1499,            1436,            354,       344,           0,        108
   80,          1879,            1806,            445,       409,           0,        126
   90,          2270,            2187,            539,       474,           0,        150
  100,          2797,            2704,            665,       546,           0,        168
  110,          3372,            3269,            807,       608,           0,        183
  120,          4075,            3964,            967,       681,           0,        204
  130,          4824,            4703,           1147,       745,           0,        226
  140,          5493,            5362,           1304,       828,           0,        243
  150,          6456,            6315,           1540,       903,           0,        265
  160,          7164,            7013,           1725,       982,           0,        281
  170,          8020,            7859,           1909,      1058,           0,        304
  180,          8931,            8760,           2125,      1129,           0,        326
  190,         10010,            9829,           2406,      1203,           0,        344
  200,         11188,           10997,           2661,      1293,           0,        363
  210,         12629,           12428,           3009,      1370,           0,        385
  220,         13979,           13769,           3355,      1448,           0,        409
  230,         15106,           14886,           3615,      1532,           0,        441
  240,         16220,           15991,           3985,      1611,           0,        450
  250,         17284,           17045,           4117,      1686,           0,        473
  260,         18483,           18234,           4401,      1759,           0,        494
  270,         19397,           19138,           4635,      1854,           0,        515
  280,         20792,           20523,           4983,      1936,           0,        536
  290,         22072,           21793,           5278,      2017,           0,        555
  300,         23995,           23706,           5801,      2106,           0,        579
  310,         25474,           25175,           6091,      2182,           0,        602
  320,         26797,           26488,           6436,      2289,           0,        628
  330,         28188,           27869,           6758,      2342,           0,        649
  340,         29502,           29173,           7071,      2459,           0,        673
  350,         31193,           30854,           7526,      2530,           0,        697
  360,         33254,           32905,           8021,      2632,           0,        719
  370,         34920,           34561,           8409,      2713,           0,        746
  380,         36425,           36056,           8797,      2792,           0,        759
  390,         38360,           37981,           9258,      2896,           0,        788
  400,         40984,           40595,           9917,      2981,           0,        810
  410,         42725,           42326,          10341,      3053,           0,        830
  420,         44806,           44397,          10876,      3167,           0,        875
  430,         47532,           47113,          11542,      3249,           0,        880
  440,         49312,           48883,          12005,      3318,           0,        904
  450,         51394,           50955,          12492,      3423,           0,        950
  460,         53480,           53031,          13142,      3520,           0,        952
  470,         55213,           54754,          13578,      3598,           0,        980
  480,         58037,           57568,          14306,      3697,           0,       1013
  490,         61055,           60576,          14936,      3772,           0,       1026
  500,         63157,           62668,          15459,      3871,           0,       1047
  510,         65381,           64882,          16034,      3952,           0,       1073
  520,         67929,           67420,          16679,      4042,           0,       1107
  530,         69644,           69125,          17136,      4147,           0,       1141
  540,         72746,           72217,          17850,      4237,           0,       1150
  550,         74961,           74422,          18455,      4322,           0,       1173
  560,         77758,           77209,          19196,      4426,           0,       1219
  570,         80189,           79630,          19773,      4537,           0,       1226
  580,         83541,           82972,          20592,      4611,           0,       1251
  590,         85469,           84890,          21111,      4708,           0,       1272
  600,         87938,           87349,          21682,      4793,           0,       1302
  610,         90761,           90162,          22421,      4906,           0,       1329
  620,         94042,           93433,          23313,      4969,           0,       1346
  630,         98010,           97391,          24262,      5081,           0,       1370
  640,        100880,          100251,          25004,      5199,           0,       1409
  650,        103193,          102554,          25575,      5266,           0,       1422
  660,        106510,          105861,          26432,      5354,           0,       1448
  670,        110209,          109550,          27426,      5451,           0,       1496
  680,        114118,          113449,          28385,      5566,           0,       1507
  690,        118493,          117814,          29527,      5632,           0,       1521
  700,        121175,          120486,          30466,      5743,           0,       1552
  710,        125025,          124326,          31183,      5842,           0,       1580
  720,        128343,          127634,          31992,      5949,           0,       1599
  730,        130557,          129838,          32549,      6047,           0,       1627
  740,        133913,          133184,          33403,      6130,           0,       1646
  750,        137030,          136291,          34189,      6227,           0,       1677
  760,        141392,          140643,          35386,      6347,           0,       1699
  770,        144561,          143802,          36150,      6416,           0,       1720
  780,        149486,          148717,          37712,      6541,           0,       1809
  790,        152256,          151477,          38113,      6627,           0,       1779
  800,        157167,          156378,          39412,      6726,           0,       1804
  810,        160232,          159433,          40180,      6827,           0,       1838
  820,        164513,          163704,          41363,      6911,           0,       1854
  830,        168511,          167692,          42268,      6999,           0,       1873
  840,        172970,          172141,          43529,      7137,           0,       1913
  850,        177034,          176195,          44512,      7206,           0,       1934
  860,        182221,          181372,          45906,      7329,           0,       1961
  870,        186523,          185665,          46969,      7421,           0,       1990
