   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              0,         1,           0,          2
   3,             3,               1,              1,         2,           0,          2
   4,             4,               1,              0,         5,           0,          3
   5,             8,               4,              2,         8,           0,          4
   6,            11,               6,              3,        10,           0,          4
   7,            16,              10,              3,        13,           0,          6
   8,            20,              13,              5,        16,           0,          7
   9,            26,              18,              5,        19,           0,          9
  10,            28,              19,              5,        25,           0,         10
  11,            30,              20,              6,        27,           0,         10
  12,            33,              22,              6,        28,           0,         12
  13,            34,              22,              8,        32,           0,         12
  14,            42,              29,             10,        38,           0,         14
  15,            51,              37,             10,        42,           0,         15
  16,            62,              47,             13,        46,           0,         17
  17,            78,              62,             17,        51,           0,         18
  18,            91,              74,             20,        53,           0,         20
  19,            96,              78,             20,        59,           0,         20
  20,           110,              91,             25,        66,           0,         24
  21,           128,             108,             28,        72,           0,         25
  22,           131,             110,             30,        75,           0,         25
  23,           132,             110,             29,        76,           0,         26
  24,           154,             131,             35,        80,           0,         28
  25,           176,             152,             41,        84,           0,         30
  26,           189,             164,             42,        92,           0,         29
  27,           213,             187,             48,        95,           0,         32
  28,           235,             208,             53,       104,           0,         35
  29,           250,             222,             56,       108,           0,         36
  30,           266,             237,             60,       113,           0,         38
  31,           275,             245,             63,       117,           0,         40
  32,           286,             255,             65,       120,           0,         40
  33,           312,             280,             72,       126,           0,         42
  34,           342,             309,             82,       133,           0,         44
  35,           373,             339,             86,       136,           0,         46
  36,           385,             350,             88,       145,           0,         47
  37,           414,             378,             96,       147,           0,         47
  38,           437,             400,            102,       152,           0,         51
  39,           457,             419,            106,       160,           0,         51
  40,           482,             443,            113,       169,           0,         52
  41,           513,             473,            118,       175,           0,         56
  42,           535,             494,            124,       178,           0,         56
  43,           573,             531,            133,       183,           0,         57
  44,           580,             537,            134,       193,           0,         62
  45,           618,             574,            146,       199,           0,         62
  46,           622,             577,            144,       197,           0,         62
  47,           656,             610,            153,       200,           0,         65
  48,           692,             645,            164,       206,           0,         66
  49,           720,             672,            168,       212,           0,         67
  50,           735,             686,            173,       219,           0,         69
  51,           776,             726,            180,       229,           0,         72
  52,           789,             738,            184,       232,           0,         72
  53,           791,             739,            188,       236,           0,         73
  54,           832,             779,            195,       244,           0,         77
  55,           863,             809,            202,       248,           0,         76
  56,           882,             827,            206,       263,           0,         81
  57,           896,             840,            209,       267,           0,         82
  58,           906,             849,            212,       267,           0,         84
  59,           947,             889,            221,       280,           0,         89
  60,           960,             901,            226,       287,           0,         88
  61,          1020,             961,            239,       289,           0,         89
  62,          1042,             982,            247,       297,           0,         93
  63,          1058,             997,            254,       303,           0,         94
  64,          1060,             998,            262,       309,           0,        102
  65,          1094,            1031,            257,       316,           0,         96
  66,          1104,            1040,            261,       318,           0,         98
  67,          1130,            1065,            265,       325,           0,         99
  68,          1183,            1117,            277,       335,           0,        101
  69,          1184,            1117,            279,       339,           0,        103
  70,          1225,            1157,            288,       343,           0,        104
  71,          1255,            1186,            295,       350,           0,        105
  72,          1305,            1235,            308,       361,           0,        111
  73,          1375,            1304,            323,       368,           0,        111
  74,          1406,            1334,            332,       370,           0,        113
  75,          1471,            1398,            347,       373,           0,        114
  76,          1539,            1465,            362,       382,           0,        116
  77,          1570,            1495,            370,       390,           0,        116
  78,          1608,            1532,            380,       397,           0,        120
  79,          1650,            1573,            389,       402,           0,        119
  80,          1707,            1629,            402,       413,           0,        124
  81,          1762,            1683,            418,       418,           0,        125
  82,          1808,            1728,            428,       423,           0,        128
  83,          1852,            1771,            435,       431,           0,        130
  84,          1929,            1847,            456,       436,           0,        130
  85,          1976,            1893,            465,       439,           0,        133
  86,          1985,            1901,            473,       452,           0,        134
  87,          2065,            1980,            488,       464,           0,        138
  88,          2115,            2029,            499,       473,           0,        145
  89,          2169,            2082,            513,       477,           0,        141
  90,          2223,            2135,            525,       484,           0,        145
  91,          2267,            2178,            535,       492,           0,        147
  92,          2326,            2236,            548,       487,           0,        146
  93,          2333,            2242,            553,       492,           0,        146
  94,          2426,            2335,            579,       497,           0,        148
  95,          2504,            2412,            592,       504,           0,        149
  96,          2518,            2425,            595,       509,           0,        152
  97,          2576,            2482,            612,       516,           0,        156
  98,          2578,            2483,            608,       524,           0,        170
  99,          2633,            2537,            627,       535,           0,        161
 100,          2660,            2563,            633,       544,           0,        161
 101,          2740,            2642,            649,       550,           0,        163
 102,          2808,            2709,            665,       559,           0,        167
 103,          2812,            2712,            664,       564,           0,        167
 104,          2915,            2815,            716,       574,           0,        182
 105,          2928,            2827,            754,       582,           0,        184
 106,          3010,            2908,            753,       581,           0,        180
 107,          3015,            2912,            741,       585,           0,        177
 108,          3020,            2916,            750,       597,           0,        178
 109,          3115,            3010,            740,       602,           0,        177
 110,          3127,            3021,            744,       606,           0,        179
 111,          3217,            3110,            768,       608,           0,        182
 112,          3246,            3138,            768,       629,           0,        186
 113,          3348,            3239,            811,       637,           0,        194
 114,          3409,            3299,            860,       640,           0,        207
 115,          3513,            3402,            856,       656,           0,        192
 116,          3566,            3454,            856,       657,           0,        193
 117,          3671,            3558,            870,       664,           0,        197
 118,          3686,            3572,            877,       671,           0,        196
 119,          3738,            3623,            889,       684,           0,        200
 120,          3833,            3717,            912,       686,           0,        201
 121,          3883,            3766,            924,       693,           0,        204
 122,          3908,            3790,            926,       697,           0,        205
 123,          3915,            3796,            931,       708,           0,        208
 124,          4000,            3880,            948,       713,           0,        209
 125,          4078,            3957,            965,       720,           0,        210
 126,          4130,            4008,            980,       729,           0,        213
 127,          4193,            4070,            996,       734,           0,        233
 128,          4307,            4183,           1027,       742,           0,        215
 129,          4385,            4260,           1039,       750,           0,        218
