 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              0,         0,           0,          1
 1,             0,               0,              0,         0,           0,          0
 2,             1,               0,              2,         1,           0,          2
 3,             2,               0,              0,         2,           0,          2
 4,             4,               1,              1,         4,           0,          5
 5,             8,               5,              4,         7,           0,          5
 6,            13,               9,              5,        10,           0,          7
 7,            15,              10,              5,        13,           0,          9
 8,            17,              11,              6,        15,           0,         10
 9,            20,              13,              7,        17,           0,         13
10,            21,              13,              8,        22,           0,         15
